"gene","mean_spearman","combined_p"
"ABI3BP",0.213897433471692,9.99200722162641e-16
"ABITRAM",0.0259287375126753,9.2148511043888e-15
"ABL1",-0.0370242675458301,7.7715611723761e-15
"ABL2",-0.032039145748399,4.05231403988182e-15
"ABLIM1",0.296893940944669,9.99200722162641e-16
"ABLIM2",-0.0724027047708255,1.33226762955019e-15
"ABLIM3",0.0992687856661512,1.33226762955019e-15
"ABO",-0.00824539523537409,4.05231403988182e-15
"ABR",-0.0225977407680425,3.66373598126302e-15
"ABRA",0.000290897392121993,0.000156553638485823
"ABRACL",-0.0296026226675587,4.05231403988182e-15
"ABRAXAS1",0.00634061626632679,1.44377679355823e-05
"ABRAXAS2",-0.00511723801277302,2.4721985272258e-06
"ABT1",0.0136258171212966,1.4470541431777e-10
"ABTB1",0.0297659425587819,6.88338275267597e-15
"ABTB2",-0.038601259154857,8.04911692853238e-15
"AC000032.1",0.00284327414690551,0.237418325937767
"AC000035.1",0.0558555837672793,1.72084568816899e-15
"AC000036.1",-0.00111421596512162,0.889680462353784
"AC000050.1",0.0161183356149219,0.00025145419601702
"AC000058.1",-0.0202893034571901,4.58344562304092e-09
"AC000061.1",-0.0096500646637858,4.71983968575174e-09
"AC000065.1",-0.0266586798806514,5.72799030429394e-11
"AC000065.2",-0.0653502057391807,2.27595720048157e-15
"AC000067.1",0.0042730860595367,0.315908702691598
"AC000068.1",0.00747025386103671,0.00217178803607254
"AC000068.2",-0.00446861155065839,0.0774591440231688
"AC000068.3",0.00269000817700312,0.408509322880146
"AC000072.1",1.75650491444557e-05,0.870161364469671
"AC000082.1",-0.00275174747620183,0.635269821802966
"AC000085.1",0.00144387728969557,5.26215758719362e-05
"AC000099.1",-0.000583092729698638,0.00671969814632384
"AC000113.1",0.0592729351868428,3.5527136788005e-15
"AC000120.1",-0.0108342397444429,0.00044337321737592
"AC000123.1",-0.00199725784977243,0.179833032875924
"AC000124.1",0.00250602187095444,0.130162335645698
"AC000372.1",-0.000494402898842192,0.0380547751271499
"AC000403.1",0.0243309920440841,1.43703258848049e-07
"AC001226.1",9.72153376915675e-05,0.324731003348129
"AC002044.1",-0.0134851290730078,0.0481041930867116
"AC002056.2",-0.00227057128211577,0.62597479832814
"AC002057.1",-0.0018081710928571,0.0904746634651599
"AC002057.2",-0.00419248088349545,1.35741642870446e-07
"AC002059.1",-0.00452361162783722,0.374936667204434
"AC002064.1",-0.0305129629796132,1.39567246648653e-11
"AC002064.2",0.00319649080953493,0.851751161655515
"AC002066.1",-0.0202652405993126,4.35040892199368e-13
"AC002069.2",-0.10166202882451,1.11022302462516e-15
"AC002070.1",-0.00242819071916694,0.00217028579595641
"AC002072.1",0.036709617208413,7.04991620636974e-15
"AC002074.1",0.0162234938233511,7.04991620636974e-15
"AC002074.2",0.00484214564866307,0.211882069642335
"AC002076.1",0.0121044515431762,0.216027929038602
"AC002091.1",-0.00328102260365845,0.0747851689779953
"AC002091.2",-0.00304872413525637,0.540098415829084
"AC002094.2",-0.00925081329896194,0.263317713122277
"AC002094.4",-0.0198433736611431,0.00102428457768622
"AC002101.1",-0.0081490476186083,0.0260508457049133
"AC002115.1",-0.00130632325730417,0.646165872878493
"AC002116.2",0.0371341040146783,1.77635683940025e-15
"AC002128.1",-0.00219632355995084,0.57368684608363
"AC002128.2",-0.00480379662627716,0.0141510392251378
"AC002306.1",0.00282313478137233,0.0720511543812034
