Gene,Phase C p-value,Phase C effect,Phase C fold-change,Phase D p-value,Phase D effect,Pct cells,Phase,Highly expressed C+,Highly expressed C-,De-repressed phase D,Case-control p-value,Case-control fold-change
TLE3,0.717,-0.0007690452,0.891,6.76e-19,7.442903,0.43,D,N,N,Y,0.0086,6.267
TMA7,0.104,0.0006315983,1.099,2.86e-13,0.885823,45.6,D,N,N,N,2.3e-05,0.444
TMBIM6,0.222,0.0003217431,1.049,2.31e-13,0.6152879,74.17,D,N,N,N,0.36,1.146
TMEM108,0.545,0.001041391,1.169,5.7e-20,4.930993,1.8,D,N,N,N,0.000149,2.024
TMEM130,1.07e-07,0.0009558069,1.154,1.44e-11,0.4091338,95.61,D,N,N,N,0.947,1.002
TMEM144,2.56e-08,-0.009079351,0.256,7.17e-59,7.131836,4.49,D,N,N,N,0.0408,1.474
TMEM160,0.00407,-0.003711587,0.573,3.06e-11,2.042142,5.63,D,N,N,N,0.00615,0.76
TMEM165,0.0149,0.0005100635,1.08,1.2e-15,0.5567106,92.55,D,N,N,N,0.836,0.991
TMEM235,0.0138,-0.00560505,0.431,1.22e-18,4.70301,1.37,D,N,N,N,0.723,1.411
TMEM258,0.0055,-0.003375248,0.603,8.31e-17,2.665376,5.06,D,N,N,N,0.000286,1.256
TMEM41B,0.00173,0.0006854472,1.108,7.14e-11,0.4766751,88.68,D,N,N,N,0.0029,1.12
TMEM63A,0.0381,-0.003756257,0.569,8e-25,4.796283,1.94,D,N,N,N,0.312,1.432
TMEM98,0.015,-0.007060611,0.347,2.15e-18,6.458523,0.63,D,N,N,N,0.541,1.785
TMSB10,0.129,0.0006581596,1.104,8.99e-24,1.332915,41.83,D,N,N,N,0.0224,0.608
TMSB4X,8.59e-06,-0.001900383,0.752,2.47e-14,0.9394553,52.93,D,N,N,N,0.031,0.762
TMTC2,9.81e-05,-0.001428945,0.807,1.61e-13,0.8591965,78.53,D,N,N,N,6.21e-07,1.499
TNS1,0.181,-0.001953614,0.746,6.76e-28,4.613413,2.77,D,N,N,N,0.689,1.143
TOMM20,1.77e-05,0.0009195453,1.148,1.55e-20,0.6390916,90.51,D,N,N,N,0.000594,0.802
TOX,0.909,0.0001859134,1.028,3.44e-15,3.905258,2.71,D,N,N,N,0.000261,0.974
TPI1,0.61,0.0002414114,1.037,1.95e-19,1.277325,29.87,D,N,N,N,0.0537,0.772
TRIM2,0.000249,0.0005180893,1.081,2.17e-13,0.3467204,99.78,D,N,N,N,0.002,1.083
TRMT112,0.0782,0.001939759,1.338,3.15e-16,2.836016,2.67,D,N,N,N,0.00541,0.679
TSC22D4,0.165,-0.001953916,0.746,3.49e-14,3.395789,3.26,D,N,N,N,0.000111,0.42
TSPYL1,0.000125,0.001038669,1.169,2.03e-11,0.5847337,73.6,D,N,N,N,0.328,1.004
TSPYL2,1.69e-06,0.0008017821,1.128,6.89e-14,0.420061,97.53,D,N,N,N,0.0813,1.07
TTLL7,2.07e-08,0.0007390796,1.117,7.53e-23,0.4311564,99.9,D,N,N,N,2.38e-06,1.205
TTYH2,0.00624,-0.004187147,0.534,1.56e-43,5.907972,1.65,D,N,N,N,0.723,1.181
TUBA1A,0.776,9.6871e-05,1.015,2.67e-14,0.8340783,64.01,D,N,N,N,7.48e-06,0.441
TUBA1B,0.851,8.276309e-05,1.012,1.65e-17,1.164448,35.14,D,N,N,N,0.149,0.901
TUBB2A,0.0125,0.001361583,1.227,2.7e-13,1.235756,22.18,D,N,N,N,0.000333,0.552
TUBB4B,0.0242,0.001709014,1.292,5.19e-11,1.521708,9.94,D,N,N,N,0.897,1.233
TWIST1,0.0357,0.001806161,1.311,3.65e-99,8.679252,1.2,D,N,N,Y,1.04e-12,32.761
UBA52,0.377,0.0005227589,1.082,5.04e-23,1.68136,18.77,D,N,N,N,0.00763,0.507
UBB,0.449,0.0008784107,1.141,5.62e-25,3.526897,3.96,D,N,N,N,0.0827,1.047
UBC,0.274,-0.0008649672,0.878,2.59e-34,2.716554,10.77,D,N,N,N,0.172,0.87
UBL5,0.281,-0.001093453,0.849,1.49e-16,2.345944,7.04,D,N,N,N,0.000791,0.58
UCHL1,1.24e-06,0.0007885964,1.126,4.71e-11,0.3513579,98.14,D,N,N,N,0.814,1.044
UGT8,0.0242,-0.005773832,0.421,3.67e-17,6.336323,1.35,D,N,N,N,0.0001,2.4
UQCR10,0.635,-0.0002851105,0.958,8.05e-22,1.632242,20.67,D,N,N,N,0.00145,0.543
UQCRQ,0.218,-0.001261655,0.828,5.72e-15,2.210596,6.3,D,N,N,N,0.000297,0.218
USMG5,0.784,-8.588628e-05,0.987,7.27e-15,0.7617741,66.68,D,N,N,N,0.000192,0.555
USP54,2.01e-07,0.001790386,1.308,1.18e-16,0.9679782,59.05,D,N,N,N,0.000109,1.329
VAMP2,0.000299,0.0008941147,1.144,5.03e-19,0.7186602,80.7,D,N,N,N,0.459,1.129
VCAN,0.0353,-0.006012606,0.406,1.95e-17,7.322302,0.9,D,N,N,N,0.0254,2.06
VEGFB,0.123,-0.00164938,0.781,8.23e-16,2.638339,6.1,D,N,N,N,0.151,1.462
VRK2,0.00136,-0.003090593,0.629,4.96e-17,2.424054,13.2,D,N,N,N,0.0067,1.323
WBP2,0.762,0.0001027015,1.016,1.88e-15,0.8434553,54.95,D,N,N,N,0.175,0.941
WDR83OS,0.461,0.0006201719,1.097,4.74e-11,1.609334,9.06,D,N,N,N,0.0339,0.855
YPEL3,0.833,7.750947e-05,1.012,9.16e-11,0.7429927,52.87,D,N,N,N,0.919,1.051
ZBTB16,0.174,-0.001633365,0.783,3.79e-35,4.409181,4.86,D,N,N,N,8.66e-05,2.41
ZC3HAV1,0.000203,0.004094511,1.848,5.87e-16,2.994006,3.14,D,N,N,N,0.631,2.024
ZFP36L1,0.0552,-0.006213461,0.394,3.97e-16,7.648081,0.55,D,N,N,N,0.00154,0.658
ZIC1,8.04e-08,0.007090861,2.897,3.42e-27,4.980321,1.96,D,N,N,N,2e-06,6.046
ZIC4,0.00408,0.003646069,1.728,8.59e-28,6.540266,0.51,D,N,N,Y,0.00288,5.364
ZNF423,0.0159,0.003479372,1.685,1.14e-12,3.413034,1.88,D,N,N,N,0.765,1.237
ZNF536,0.374,0.0009699529,1.157,3.37e-58,5.421753,5.86,D,N,N,N,1.57e-06,2.265
ZNF608,0.00268,0.002244181,1.4,1.95e-23,2.5012,18.24,D,N,N,N,0.0388,1.95
ZSCAN9,0.786,0.0005746933,1.09,3.11e-11,4.37378,0.69,D,N,N,N,0.732,2.506
