Gene,Phase C p-value,Phase C effect,Phase C fold-change,Phase D p-value,Phase D effect,Pct cells,Phase,Highly expressed C+,Highly expressed C-,De-repressed phase D,Case-control p-value,Case-control fold-change
PWAR5,1.25e-11,0.001111373,1.181,0.952,-0.003404487,95.59,C+,Y,N,N,0.00161,1.19
PWAR6,9.46e-14,0.0007966294,1.127,0.0129,0.08932701,99.92,C+,Y,N,N,0.035,1.072
RAB11A,5.73e-16,0.001403985,1.234,7.49e-05,0.2268126,98.51,C+,Y,N,N,9.45e-05,0.706
RAB3C,1.03e-12,0.001212051,1.199,0.218,0.07090708,99.27,C+,Y,N,N,0.0129,1.128
RBM5,2.6e-12,0.001031738,1.167,0.0558,0.09767297,97.29,C+,Y,N,N,0.147,1.028
REPS1,3.02e-13,0.00103855,1.169,0.0362,0.10219,99.16,C+,Y,N,N,0.00236,1.095
REV3L,4.33e-20,0.001245624,1.205,3.38e-09,0.2692784,99.94,C+,Y,N,N,0.0294,1.063
RFWD2,5.49e-12,0.0006660608,1.105,0.0872,-0.0559221,99.98,C+,Y,N,N,0.0625,1.029
RICTOR,2.1e-11,0.0009410544,1.152,1.32e-06,0.2293252,99.35,C+,Y,N,N,0.0437,1.054
RIMS2,1.13e-16,0.0006158802,1.097,0.587,-0.01335966,100.0,C+,Y,N,N,0.000119,1.109
RIT2,6.37e-16,0.001200602,1.197,0.746,-0.01608178,99.86,C+,Y,N,N,0.0172,1.117
ROBO1,5.48e-25,0.001323738,1.22,0.0271,-0.09352963,100.0,C+,Y,N,N,0.0197,1.167
RTN3,1.04e-25,0.001121378,1.183,4.45e-07,0.1826123,100.0,C+,Y,N,N,3.24e-06,1.176
SCN2A,2.73e-22,0.0008150971,1.13,0.465,0.0206994,100.0,C+,Y,N,N,0.000215,1.099
SERGEF,7.95e-12,0.001188143,1.195,0.0472,0.117102,98.45,C+,Y,N,N,0.331,0.998
SETD2,5.72e-12,0.0007668437,1.122,1.86e-05,0.1627925,99.92,C+,Y,N,N,0.00112,1.06
SEZ6L,1.79e-18,0.005007493,2.119,7.56e-05,0.7684133,35.56,C+,N,N,N,1.87e-09,4.001
SGCZ,9.04e-12,0.0009451383,1.152,0.000778,-0.1534868,99.9,C+,Y,N,N,0.147,1.073
SGSM1,3.43e-15,0.001016354,1.165,0.0886,0.07540125,99.61,C+,Y,N,N,4.81e-07,1.284
SHANK2,5.66e-16,0.001024662,1.166,0.165,0.06037874,99.8,C+,Y,N,N,0.766,1.006
SLC22A25,3.29e-11,0.004111585,1.853,0.315,0.2194411,28.85,C+,N,N,N,0.451,1.227
SLC36A1,2.32e-14,0.001867174,1.323,1.21e-05,0.3738846,79.19,C+,N,N,N,6.56e-06,1.34
SLC38A6,2.97e-18,0.0009843744,1.159,0.855,-0.007106018,99.94,C+,Y,N,N,0.193,1.023
SLC4A10,1.18e-13,0.0008215901,1.131,0.0505,0.07282786,100.0,C+,Y,N,N,0.00085,1.084
SMC5-AS1,1.07e-20,0.004313375,1.91,0.0122,0.4048093,41.85,C+,N,N,N,3.54e-05,1.326
SNHG14,2.97e-61,0.001129677,1.185,0.00144,0.07181421,100.0,C+,Y,N,N,5.17e-07,1.14
SNTG1,2.78e-13,0.0006109426,1.096,1.94e-07,-0.1434794,100.0,C+,Y,N,N,0.000917,1.099
SON,2.99e-16,0.001173312,1.192,1.13e-13,0.3619609,98.9,C+,Y,N,N,0.41,0.981
SPECC1,1.38e-16,0.001709639,1.292,0.00217,0.2166484,92.59,C+,Y,N,N,0.00036,1.343
SPIN1,2.24e-15,0.001026093,1.166,4.84e-08,0.2400199,99.8,C+,Y,N,N,0.00036,1.127
SRGAP3,3.08e-19,0.001486951,1.25,0.00742,0.1515473,98.08,C+,Y,N,N,0.544,1.081
SRPK2,1.07e-16,0.0009665741,1.156,0.00111,0.1281869,99.94,C+,Y,N,N,0.000749,1.109
SRRM2,1.96e-12,0.0008816541,1.141,0.000527,0.1517319,99.43,C+,Y,N,N,0.0475,1.103
ST3GAL5,3.2e-11,0.001119367,1.183,8.16e-08,0.3031901,96.63,C+,Y,N,N,8.81e-06,0.841
STAU2,7.47e-16,0.001205054,1.198,0.0589,0.09557346,99.61,C+,Y,N,N,0.0499,1.07
STOX2,4.08e-18,0.0009926381,1.161,0.892,-0.005235292,99.98,C+,Y,N,N,6.34e-06,0.897
STRN3,1.34e-15,0.001214949,1.2,0.000894,0.1721382,99.35,C+,Y,N,N,0.00776,1.061
STXBP5,1.49e-14,0.0009288771,1.15,0.331,-0.03928992,100.0,C+,Y,N,N,0.0507,1.057
SUPT3H,4.05e-11,0.0009127453,1.147,0.693,0.01820736,99.94,C+,Y,N,N,0.692,1.01
SV2B,6.81e-13,0.001740979,1.298,0.303,0.08460973,91.78,C+,Y,N,N,0.0338,0.876
SYBU,1.03e-13,0.0009245975,1.149,0.145,-0.06101289,99.94,C+,Y,N,N,0.000401,1.127
TAPT1-AS1,3.27e-26,0.001730979,1.296,0.00195,0.1719562,99.1,C+,Y,N,N,4.12e-05,1.205
TARBP1,1.41e-12,0.0007382142,1.117,0.00635,0.09725486,99.94,C+,Y,N,N,0.00897,0.866
TBC1D5,6.7e-13,0.0007474808,1.119,0.0558,0.06643713,99.96,C+,Y,N,N,0.155,1.033
TBCK,7.79e-36,0.001987817,1.347,2.77e-05,0.2252263,99.43,C+,Y,N,N,2.23e-05,1.156
TENM4,2.37e-13,0.0008498406,1.136,0.000207,0.1446855,100.0,C+,Y,N,N,0.162,1.083
THOC1,5.48e-14,0.001227883,1.202,0.286,0.06030875,97.45,C+,Y,N,N,0.213,0.95
TIA1,7.27e-16,0.00146613,1.246,2.93e-05,0.2633863,91.55,C+,Y,N,N,0.525,0.993
TIAM2,3.05e-12,0.001007388,1.163,0.5,-0.03319973,99.57,C+,Y,N,N,1.04e-05,1.135
