"logFC_(Intercept)","logFC_conditionXDP","logFC_age_of_death","logFC_sexM","logFC_pct_counts_mt","logFC_frac_intronic","logFC_cohortCohort_2","logFC_cohortCohort_3","logFC_PC_1","logFC_PC_2","logFC_PC_3","logFC_PC_4","logFC_PC_5","logFC_PC_6","logFC_PC_7","se_(Intercept)","se_conditionXDP","se_age_of_death","se_sexM","se_pct_counts_mt","se_frac_intronic","se_cohortCohort_2","se_cohortCohort_3","se_PC_1","se_PC_2","se_PC_3","se_PC_4","se_PC_5","se_PC_6","se_PC_7","p_(Intercept)","p_conditionXDP","p_age_of_death","p_sexM","p_pct_counts_mt","p_frac_intronic","p_cohortCohort_2","p_cohortCohort_3","p_PC_1","p_PC_2","p_PC_3","p_PC_4","p_PC_5","p_PC_6","p_PC_7","gene_id","gene"
-10.2615716880319,-0.0481470493949833,-0.000878085243509044,0.0468961417144484,0.0399955725729786,1.86338569385207,-0.250312530568976,-0.395760953865528,-0.0261011339405015,0.00925357086836686,0.0204107755773095,0.000910295864746508,-0.00218903161204923,0.00373991933953928,0.0180976878588838,0.0625696784618539,0.152847077804311,0.00523626642252345,0.194739452413005,0.04181100627634,1.0694579501642,0.162470636770687,0.158188656080405,0.00505790989092004,0.00810005408553264,0.00681079656547281,0.00716601317642237,0.00744447112506836,0.00744674979161469,0.00926601374757394,0,0.752760561582027,0.866824800645631,0.809698660666089,0.338779285273149,0.0814446628379884,0.12339877847092,0.0123553614850624,2.46345807029871e-07,0.253284247919626,0.00272805935817062,0.898916962363949,0.768721249047519,0.615511580258287,0.0508047244599421,21,"FAM95A"
-10.1739120821719,-0.0671287709817485,-0.00509564559735366,-0.0372162087420846,-0.169548202821744,-0.979945254956856,0.0317067419042373,0.0525945574980713,0.0159116618677352,-0.00479786405398533,-0.000242208355758157,0.00183209189596641,0.0173275056180158,0.0208256243781461,0.0272709868585848,0.0338617601375184,0.0682786814791322,0.00199165726728687,0.0770310958900466,0.0556668512770254,0.765344791575492,0.0802385808766765,0.0710207845235033,0.00402440908641362,0.00550750996107332,0.00512670321206804,0.00479767191276944,0.00565319479201522,0.00502196304509283,0.00570764870806599,0,0.325529400724191,0.0105126265515213,0.62900181757632,0.0023208838519053,0.200405511844198,0.692727898399864,0.458965347482571,7.69234516171973e-05,0.383672578462068,0.962318388299009,0.702557032431914,0.00217610322924888,3.36993738074312e-05,1.77071854038954e-06,22,"MRPS5"
-9.78197505454565,0.0390235404426215,-0.00281315391626128,0.0668757246413423,0.0127582151763934,-1.82149973817932,-0.19581756951981,-0.102916239133996,-0.032387017855254,0.0185103171253828,0.0113289550575893,-0.0109135535108889,-0.00650475999253384,-0.00162748835094863,0.00263965644555398,0.0271759289066629,0.0669598214101779,0.00195158186642454,0.0770126818090753,0.0281471062236431,0.739554714468226,0.0774229095297801,0.0706815678826304,0.00338846511417891,0.00544154459715057,0.00464480668033243,0.00462461841790619,0.00514181208060075,0.00490501348903046,0.0053576841338031,0,0.560034414959282,0.149450904748237,0.385190234011553,0.650354937626295,0.0137792139325978,0.011432476827145,0.145377459745275,1.2003085617367e-21,0.000669764438610256,0.0147255855769828,0.0182807515181884,0.205845693307772,0.740039533706839,0.622234407928769,23,"ZNF514"
-12.1613820533812,0.153010379899841,-0.00155137659254077,0.050002331756129,-0.506320724380117,-3.16797063825807,-0.0564746253294349,-0.049212240949841,-0.0108286480506716,0.00248884411120591,-0.0134334111272911,0.00122658739446229,-0.00993380239888162,-0.00953722225131011,-0.0021335335359818,0.0801899687920952,0.143041410548424,0.00405446243190844,0.150052171448594,0.175046120385447,2.07610897925055,0.176252578790882,0.149107434880649,0.0101875686458954,0.0152192581705942,0.0130771611352648,0.0124701977709953,0.0139385733173308,0.0133518827849739,0.0128832790121997,0,0.284757567547579,0.701990898278016,0.738958427430565,0.00382190425116151,0.127030458042642,0.748650938066104,0.741365567054853,0.28781477835525,0.870099146204088,0.304306454863117,0.92164524261845,0.476041132368981,0.475042971196431,0.86846792734084,24,"ZNF2"
-9.98842621835072,-0.0454752338858831,0.00212345247418402,-0.12146136012495,-0.0415493686986744,-2.99458639352159,-0.0284657129617551,-0.00995948716142448,-0.0362589900933943,0.0040232901670725,0.0081636345124959,0.002590453470627,0.0124774303358497,-0.000110384516929485,-0.00628858397521472,0.028535729782446,0.0693345787195617,0.00202057848363604,0.0773837966994363,0.0333045407798896,0.894668748205574,0.0844308181478926,0.0766760115777623,0.00405012347638301,0.00668824393060881,0.00552437863051537,0.00532204101101901,0.00605468011819581,0.00573659312950049,0.00602867827263206,0,0.511900684208227,0.293298485917045,0.116508942092185,0.212192720888954,0.00081648369853875,0.736005053547943,0.896653043183689,3.47319045360348e-19,0.54747600649239,0.139475481827946,0.626442164861919,0.0393229828379898,0.98464791470255,0.296896629075921,25,"ZNF892"
-9.89848163591487,-0.0642633040419936,-0.00207161109444953,0.104458021784838,-0.00498911976793169,-0.392970914527874,-0.116418145925178,-0.111723347879827,-0.0260654380316393,0.024298896592111,0.00176103257545605,0.0126117075421804,-0.0270830087094827,0.00100292937802081,0.0102941649601167,0.0280721900079737,0.0692937551849581,0.00203016777544874,0.0800721905065988,0.0307828596752047,0.813151267821595,0.0813479690461043,0.0741960781073911,0.00375047814275248,0.0059186726676826,0.00496383436008572,0.00492764185413667,0.00543818108560648,0.0053081901528881,0.00573622132295984,0,0.353716827279305,0.30753227976371,0.192046780076047,0.871247105446491,0.628904648280867,0.152397797212482,0.132122353017709,3.65552151823832e-12,4.03504409912909e-05,0.722759933717733,0.0104859079333023,6.35319196825237e-07,0.850139852940496,0.0727190604663872,26,"KCNIP3"
-10.2082118531337,0.115549284324891,-0.00195850305429808,-0.132799062018892,-0.037698644344298,-1.83270959286098,-0.0315190117220078,-0.0920127600863573,-0.0083484651435657,0.00862785329790796,0.0141184766866398,0.00329828800719448,-0.00162712361333703,0.0100660229397413,-0.0128807797781775,0.025818525884897,0.0563941245016221,0.00155215983471621,0.0579807424586383,0.039347281189402,0.803001636533719,0.069631094215062,0.0613614198887617,0.00386100339389431,0.00573083477590464,0.00508572226131388,0.00465749755610435,0.00547332436318772,0.00504410564226654,0.00501046856720025,0,0.0404660628942333,0.207023597053313,0.0219981700121372,0.338012153049557,0.022470241706217,0.650795649090787,0.1337384304591,0.0305987008316971,0.132191921478952,0.0055015180674958,0.478841298502819,0.766250832184448,0.0459773560015278,0.0101471670198767,27,"FAHD2A"
-10.9987884432773,-0.0252312829616766,-0.00112150609089357,0.0454430102534297,0.0613906223373083,-2.29306969060421,-0.292717495894836,-0.295569282194927,-0.00253171798433414,-0.0160500857192412,0.0173599194143605,0.00741078597749939,-0.0131499028312546,0.0192600534333882,0.0202448610531756,0.0374936025795006,0.0773856911494601,0.0022206510438026,0.0817750487968997,0.0580647143935607,1.22143176563552,0.0977769141169726,0.0857601412137906,0.00609117379493091,0.00893985248360612,0.00755463031265106,0.00678979520727376,0.00800145105771329,0.00725904940401709,0.00748092198124654,0,0.744389670344,0.61353438282729,0.578410809191814,0.290384123837105,0.0604684838229889,0.00275591415990372,0.000567973183192653,0.677675553794517,0.0725993504449708,0.0215664683993831,0.275070776103489,0.100291978778259,0.00797214323182178,0.00680583182115657,28,"ENSG00000291126"
-8.13989083985167,0.0548437962307279,0.0012932975714831,0.0662146904407313,-0.0733695772690867,-1.06497759266286,0.150928789718472,0.235285288502027,-0.0780857910399444,0.0375584985593624,-0.00789924210852308,0.000511118848427761,0.00581885152320651,-0.0141306434078318,0.000223841724694084,0.0204875899390794,0.0503904012428028,0.00155742693716028,0.0628003697430331,0.011303919458265,0.395520414622712,0.0556001829343905,0.0539389524701867,0.00181238280552369,0.00317455431125585,0.00248326090388709,0.0027175720855054,0.00269094210953539,0.00289679367138955,0.00323205223959415,0,0.276428338336782,0.406308948416184,0.291714538472082,8.54772415005691e-11,0.00708976340765804,0.00663683565601091,1.28839792738729e-05,0,2.6955614718652e-32,0.00146769838424821,0.850814547466086,0.03058855087141,1.07151197805326e-06,0.944785179929885,29,"LINC00342"
-7.64995941122146,0.0922194608438796,0.00144670435114121,-0.00364545899945883,0.0121294753284942,-1.31300024732627,0.147647257650141,0.232397926834356,-0.02318684950743,0.0106528776467068,0.00915469380067431,-0.00870876693723303,-0.00236878043163148,-0.00571475074686903,-0.0153889650144284,0.0148973623488351,0.0374138125385284,0.00113668077104512,0.0456969225165111,0.011411962541874,0.315077714523126,0.0412922419618011,0.0388202790984066,0.00144731394525656,0.00237124350737327,0.00199108311177729,0.0021156867969235,0.00217174654693433,0.00222833427303872,0.00254640895009584,0,0.0137070364698086,0.203108673841108,0.936416434212794,0.287839212353008,3.08327905504594e-05,0.000349337683517363,2.14393524154781e-09,9.17486159369015e-58,7.03826897584093e-06,4.2688104357516e-06,3.85030438427936e-05,0.27539346496646,0.010329952870004,1.50900960037704e-09,30,"ANKRD36C"
