"logFC_(Intercept)","logFC_conditiondiseased","logFC_age_at_death","logFC_pct_counts_mt","logFC_pct_intronic","logFC_PC_1","logFC_PC_2","logFC_PC_3","logFC_PC_4","logFC_PC_5","logFC_PC_6","logFC_PC_7","logFC_PC_8","logFC_PC_9","se_(Intercept)","se_conditiondiseased","se_age_at_death","se_pct_counts_mt","se_pct_intronic","se_PC_1","se_PC_2","se_PC_3","se_PC_4","se_PC_5","se_PC_6","se_PC_7","se_PC_8","se_PC_9","p_(Intercept)","p_conditiondiseased","p_age_at_death","p_pct_counts_mt","p_pct_intronic","p_PC_1","p_PC_2","p_PC_3","p_PC_4","p_PC_5","p_PC_6","p_PC_7","p_PC_8","p_PC_9","gene_id","gene"
-9.01638857395429,-0.00517174474187772,-0.00220248781823694,0.474035955924852,-1.84278337651138,-0.0189845069776298,-0.00620365737483476,-0.00645896021124959,-0.00133997635605688,-0.000966628616923979,-0.0189109914641617,0.00889356672225724,-0.00999927973941548,0.0195429895366204,0.0260622547187598,0.0632796478661778,0.00264916253904531,0.0398563891897888,0.178862793315136,0.00140569302110772,0.00114613085478456,0.0039450776214398,0.00158150392927481,0.00164595968437327,0.0059238330156722,0.00167941082374463,0.00242861932494531,0.00270039524751179,0,0.934862689326115,0.405753223861027,1.27777540185718e-32,6.84564370307988e-25,1.45237470807936e-41,6.20829968992706e-08,0.101584497493884,0.396839174942636,0.557019990047269,0.00141116662127881,1.18595809047137e-07,3.83388024171587e-05,4.58431363624701e-13,21,"GOLGB1"
-13.479496403565,0.114735162314156,-0.018273937335059,-0.524752419644113,-5.70894546267104,0.0017148837521145,-0.0132100761027802,0.00584869109131633,-0.00240065341342993,0.00276264275348075,0.0178205396052372,-0.010913925476224,0.00550912042557712,-0.0255042151505969,0.0451525487645466,0.136831478881433,0.0051965733237761,0.329087023334388,1.20865459528514,0.00934757490094856,0.00720696634742383,0.0140296072781055,0.00854576156495896,0.00820847190313309,0.0154194010680629,0.0112604866757104,0.0176501139275399,0.0265285979484327,0,0.401741876410339,0.000437217311100053,0.11080834078293,2.3194691796866e-06,0.854438976434431,0.0668086216362409,0.676764701874719,0.778773728202934,0.736448664586577,0.247794924546539,0.332433813858145,0.754942142788001,0.336358263321849,22,"ENSG00000288868"
-9.53730736793769,-0.0212376230551834,-0.00381664783524256,-0.08897993714613,-0.582685177266307,-0.00708859462172489,-0.00612780340053634,-0.00187881466920543,-0.00390909888437332,3.59689402264869e-05,-0.00398307232989487,0.00411280029342867,-0.00226619783755598,-0.000381313680030923,0.0172823329256664,0.0427356937251544,0.00179046033046053,0.0526696794055613,0.219136706686405,0.00170720966323525,0.00133824124595629,0.00422375733422735,0.00180302283783093,0.00193134139101444,0.00685296790244451,0.00204512531115476,0.00305018499564134,0.00430348532553418,0,0.619222329847891,0.0330350294470208,0.0911435981771145,0.00783722473299229,3.29362864118232e-05,4.67209646915286e-06,0.656449338111255,0.0301525525794927,0.985141206382639,0.561093141270552,0.044322704347959,0.457499468121682,0.929395213264513,23,"IQCB1"
-11.5058864313298,0.136406997765502,-0.00611458531710029,-0.274433146405092,-1.74318734844176,-0.0185309768477667,-0.014493477921706,0.00420652173827702,0.0105981652906213,0.00913032970092755,-0.0123252978599535,0.0198349796119459,0.0154090428096591,0.00519909275813848,0.0399976750235513,0.101240275307088,0.00413982759246356,0.138552939734184,0.57586631840881,0.00440018046323789,0.00320077002577515,0.0074520686330171,0.0040880618950665,0.00484423968442935,0.0181617224614106,0.00531533088256875,0.00818398318688665,0.0110535598441618,0,0.177864633298757,0.139671754667372,0.0476238426259714,0.00246937203945279,2.53778381802452e-05,5.95101553735125e-06,0.572429512880847,0.00952903407919101,0.0594594450830779,0.497365065915075,0.00019022611356831,0.0597235136493554,0.638101691955677,24,"EAF2"
-11.753706513133,0.125828183043301,-0.0098192200727881,-0.172166691277873,0.429391031548949,-0.0100154397433142,-0.0137549544440263,-0.00119979073476933,0.0180723647243717,0.00481811943470268,-0.0320625777926455,0.0167594169388173,0.0130368764514776,-0.0234941853487812,0.0413644238996346,0.104927142947498,0.0042493475689829,0.148668674874681,0.64027688518653,0.00486283543545879,0.00388035533373845,0.0126301936299083,0.00515337429366306,0.00573195702344834,0.020833615610472,0.00597991142672891,0.00896907472935824,0.0128534549391742,0,0.23045184255968,0.0208461451762322,0.246841073559152,0.502454132422506,0.0394379004212783,0.000392960706047222,0.924319710837989,0.000453360672153158,0.400588057686388,0.12380847535177,0.00506894187806687,0.146074885248984,0.0675720932268556,25,"SLC15A2"
-11.4283315314832,-0.146155161311168,9.05197364009936e-06,-0.296747366697535,-2.70762925062833,-0.00614136689470748,-0.00715704373363609,6.05048885427331e-05,0.000734130565241793,0.00826211181468457,0.0153622384639473,0.00399004419410448,0.0186454387070204,-0.00888282234357429,0.0358307719319532,0.0870348835491856,0.00374705272729435,0.128463624388856,0.498139889653089,0.00392407203509684,0.00299587276367435,0.00903091519781802,0.00393312005969648,0.00358361959150964,0.00807946679490727,0.00461638025323481,0.00719762749636782,0.0103978397531048,0,0.0930992281160923,0.99807250564297,0.020889708073854,5.46492116413009e-08,0.117571308105262,0.0168957805349561,0.994654411628413,0.851932328794425,0.0211373871937314,0.0572506066592596,0.387410411628121,0.0095837214312109,0.392941565856888,26,"MIX23"
-9.80821901671507,0.0150311857980591,-0.00239738042608315,-0.0800779943738968,-0.56785485146888,0.00504984646350482,0.000838247047098863,0.00280821269619635,0.000568897562330239,0.00387834953729933,-0.000392909403281009,0.00611665079798398,-0.0111918584095924,-0.00479427629610293,0.00875164325090676,0.0259527041648067,0.00106839456268896,0.0591156215686493,0.240576743232179,0.00185141695713445,0.00142340475622229,0.00381048187703495,0.00183283467488396,0.00205635607315067,0.00727074643578357,0.002240843032954,0.00333684386164905,0.00484498196155341,0,0.562470360416236,0.02483824182809,0.175545176938989,0.0182557494089035,0.00638051094073138,0.555926479052412,0.4611402952886,0.756262735164475,0.0592908929151392,0.95690348541566,0.0063407295529736,0.000796451082309849,0.322401750010276,27,"FAM162A"
-13.64530385181,-0.257328636779378,-0.00799208338230509,-0.401575833965795,-6.90942669238906,-0.0114707025099669,-0.00644308411642748,-0.0139529805593609,-0.0127903249969014,0.00046318336291467,0.0110203184926866,-0.00590482314259868,0.00691545479083439,-0.0168164673862111,0.0843191393517642,0.21029015848866,0.00891588558616455,0.35435290406632,1.35028403201518,0.0109169870266989,0.00930841115315896,0.0354393120764252,0.012841792563506,0.011156293294776,0.0279083475848962,0.0131427036187069,0.0196399035466404,0.0290628228859515,0,0.22107157533312,0.370046140953078,0.257102878284445,3.10405232857574e-07,0.293386959254018,0.488825100749838,0.69379163637656,0.319253943753449,0.966883202125758,0.692934883372116,0.653225882358911,0.724753922829172,0.56284242971795,28,"WDR5B"
-12.0712878993779,-0.150185532023752,-0.00936422375118817,0.234600768869324,-0.976495353482288,-0.00194112931376206,-0.0145674677331389,0.006700040988201,-0.00947554516076271,0.00788865749894263,0.020506491883299,0.00638876472533999,-0.0232551213108713,0.0255526672474841,0.0230017575145115,0.0725441824404683,0.00290490126080908,0.163488745373721,0.696815269276994,0.0054026039182088,0.00389598444536026,0.00675982748737993,0.00469885417633289,0.00460414107872534,0.00864826909684215,0.00626148345426074,0.00949396367338816,0.00979289163166686,0,0.0384277285777273,0.0012659251772279,0.151296825064457,0.161103741793428,0.719374312069954,0.000184681709426013,0.321609598544814,0.0437409221891914,0.0866420839476724,0.017732008293592,0.307573092103675,0.0143069049506595,0.00907256300371021,29,"WDR5B-DT"
-9.40364735064012,0.00902870685458853,0.00248571001975305,-0.301396956237312,-0.177442126376892,0.00860125973075432,-6.97886669568616e-05,0.000242206753709818,-0.00142782808668841,-0.00530223732431823,-0.00337868821003373,-0.00464769715143224,0.00572719881896573,-0.0215692222436294,0.0116361882966351,0.0292917203034214,0.00124708826807497,0.0487852502129112,0.193128070003862,0.0015113347975989,0.00119459654385458,0.0038354522705879,0.00161512016685918,0.00171397297449052,0.00600843772847236,0.00182249767446035,0.00271772367254056,0.00401314905537581,0,0.757904211681827,0.0462383500933757,6.49045562791084e-10,0.35821087710099,1.2617353628926e-08,0.953413859668938,0.949647486577915,0.376675538048857,0.00197786467659297,0.573895349129572,0.0107667308775352,0.0350871299528313,7.67368171626555e-08,30,"KPNA1"
