"logFC_(Intercept)","logFC_conditionXDP","logFC_age_of_death","logFC_sexM","logFC_pct_counts_mt","logFC_frac_intronic","logFC_cohortCohort_2","logFC_cohortCohort_3","se_(Intercept)","se_conditionXDP","se_age_of_death","se_sexM","se_pct_counts_mt","se_frac_intronic","se_cohortCohort_2","se_cohortCohort_3","p_(Intercept)","p_conditionXDP","p_age_of_death","p_sexM","p_pct_counts_mt","p_frac_intronic","p_cohortCohort_2","p_cohortCohort_3","gene_id","gene"
-8.96184714154777,0.0744459310233017,0.00522369723525134,0.0799381796501522,0.0637760205854121,1.33511664605097,0.0198390637999267,0.0763600332878921,0.0422831097121467,0.0921182538980345,0.00368915077662319,0.14168060028464,0.0120688040991943,0.121236059952488,0.110581414559715,0.0929221247371849,0,0.419000712125143,0.156786636651409,0.572608494179515,1.26138411194254e-07,3.32504933209163e-28,0.857618249257584,0.411211371091704,16,"KANTR"
-10.4099513414387,0.0798047131016426,-0.00107049109175744,-0.807605236767727,-0.0076462919694785,-0.450643709049866,0.0495381392808598,0.0127270987693485,0.0295334220485216,0.0680757105260826,0.00258291972787599,0.101559747667823,0.019922535378751,0.19237219713018,0.078503304881185,0.0666738581497872,0,0.241079239514831,0.678544574619459,1.83493277006751e-15,0.701125836386417,0.0191518755972441,0.528019253229986,0.8486149948612,17,"KDM5C"
-14.4474925486868,-0.015032127278262,-0.00225444120183624,0.0222933285750156,-0.0873307476746636,2.72103731335285,-0.416253266226163,0.114925617286979,0.142416755509515,0.325747655823852,0.0125219227048623,0.534565729444557,0.184840788035301,1.3672288282764,0.373999331335076,0.334523489274351,0,0.963193451820005,0.857121527035768,0.966734964359077,0.636595131557234,0.0465706399738769,0.265717604391007,0.731184569327256,18,"IQSEC2"
-10.370299170861,0.0397222401271448,0.0016383962178769,-0.217038884287634,-0.0839044329512706,-3.43123214817223,0.131616798662822,0.160142648426351,0.0167957124176968,0.0384927752404357,0.00146309342787642,0.0618700545100325,0.021567040127335,0.182692256931442,0.0438468426070228,0.0408116674645124,0,0.302100157296352,0.262791950096876,0.0004515238036379,0.00010007873062662,1.07041083768817e-78,0.00268441797995891,8.71114293229144e-05,19,"SMC1A"
-14.1943997555516,0.251129064327209,-5.54380540134066e-05,-0.279658170444496,-0.112047436944136,-2.21950658998787,0.217141979253148,0.0547440676188652,0.0668477028396933,0.158465890030243,0.005737272028047,0.251183300546413,0.148080787359341,1.18639631901045,0.176148009191491,0.182678274902135,0,0.113022795141006,0.992290329126198,0.265552597708631,0.449251041930179,0.0613732334742921,0.217678540998432,0.764425255246193,20,"RIBC1"
-12.8991389859195,-0.112526991567179,-0.00538944673302189,-0.0618386260024539,-0.0732483843299025,-9.43033593152164,-1.00851256733656,-0.660807344511174,0.0549802458182853,0.124173830689457,0.00481697182246455,0.194636731820068,0.0663408692546058,0.468631078661296,0.142491097643198,0.130648179659389,0,0.364827163869512,0.263206102391199,0.75070262572716,0.269540408149834,4.62674528106711e-90,1.46541907471419e-12,4.23866008993841e-07,21,"HSD17B10"
-8.75647423483777,-0.059513654427643,-9.42167390753187e-05,-0.000900522067996663,-0.0548497351591688,-0.959314125876931,-0.0794134632079005,-0.0771979585591742,0.0123863079429184,0.0282150693936172,0.00107812071184486,0.044725999653302,0.0106758485818157,0.0947423420288285,0.0327697139242161,0.0284373602834949,0,0.0349198915877241,0.930361687330702,0.983936320765889,2.78062109710443e-07,4.257719942255e-24,0.0153768404521626,0.00663424768452246,22,"HUWE1"
-10.1258675525451,0.0598668481941487,0.00105608025191482,-0.0329098903218275,0.0152826271238218,-0.101881104337195,-0.0978401444143918,-0.120421022764526,0.0125484256841223,0.0290426558005832,0.00109763869728332,0.0480713382537879,0.018657218272778,0.17921755831169,0.0328387927653642,0.0317310142843214,0,0.0392704174026298,0.335980127456324,0.493593056152473,0.41271408438448,0.569710950515629,0.0028880644330207,0.000147609260814633,23,"PHF8"
-10.0338298066212,-0.0178896321776635,-0.000360350829454302,0.0554133759407021,-0.022069788360361,-0.0986009609767968,-0.00630794135423639,0.0160387681194372,0.0167359146422586,0.0385448038581058,0.00144803427541101,0.0625279668451606,0.018923626941183,0.175302080479468,0.0441979020543989,0.0399464009314279,0,0.642557725029818,0.803472806359798,0.375500356947173,0.243511066112883,0.573800501436886,0.886511020972703,0.688046728462087,24,"FAM120C"
-10.5694607958399,-0.0238014034277951,0.00292594729102239,0.200787416756073,0.00594142370862805,-0.70250673880286,0.146428811717303,0.101495778921967,0.013515149490175,0.0309616962052989,0.00116661546553026,0.0542601417106676,0.0259329754973762,0.256235168814354,0.0351827179403177,0.037415811328678,0,0.442049417438308,0.0121394371365368,0.000215210052478297,0.818785828128023,0.00611317406746496,3.15537570295894e-05,0.00667487578764639,25,"WNK3"
-11.8334710791478,-0.140623317597045,-0.00116330007559385,0.168816267401354,0.0556455106288987,-6.88727844258932,-0.18746147804594,-0.0608334439511489,0.0382586056275729,0.0866093822697372,0.00324894555173173,0.140254813677994,0.0330079428811506,0.321401411196836,0.100344019877416,0.0909167524979101,0,0.104450542426685,0.720302413124958,0.22872885277216,0.0918301220406738,7.18590375517769e-102,0.0617358927196505,0.503424359456779,26,"TSR2"
